日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/05/05,"85,693,344","3,151,278,361",36.95,37.40,36.15,36.45,+0.05,"30,946"
109/05/06,"71,345,045","2,570,310,904",36.70,36.75,35.30,35.70,-0.75,"28,151"
109/05/07,"47,349,017","1,701,659,394",35.75,36.35,35.40,35.95,+0.25,"17,840"
109/05/08,"64,904,906","2,347,816,716",36.60,36.75,35.80,35.95, 0.00,"23,310"
109/05/11,"45,899,556","1,653,469,319",36.30,36.45,35.80,35.90,-0.05,"16,585"
109/05/12,"53,659,543","1,903,824,229",35.85,36.10,35.10,35.20,-0.70,"20,752"
109/05/13,"69,083,637","2,386,092,704",34.85,35.00,34.10,34.55,-0.65,"27,307"
109/05/14,"102,406,262","3,417,480,596",34.05,34.25,32.50,32.65,-1.90,"41,215"
109/05/15,"49,704,586","1,628,673,558",33.40,33.45,32.20,32.50,-0.15,"20,849"
109/05/18,"49,020,078","1,600,072,236",32.50,33.35,31.90,32.50, 0.00,"19,399"
109/05/19,"34,230,307","1,128,722,984",33.30,33.35,32.70,32.80,+0.30,"12,913"
109/05/20,"27,049,761","893,273,899",33.00,33.35,32.80,32.85,+0.05,"10,485"
109/05/21,"37,295,530","1,243,438,753",33.15,33.70,33.00,33.40,+0.55,"15,248"
109/05/22,"75,974,959","2,575,605,623",33.65,34.30,33.60,33.70,+0.30,"28,844"
109/05/25,"41,663,664","1,383,899,882",33.95,34.00,32.70,33.20,-0.50,"16,259"
109/05/26,"40,341,322","1,331,940,426",33.30,33.40,32.70,32.90,-0.30,"18,587"
109/05/27,"72,955,575","2,454,941,700",33.50,34.10,33.20,33.85,+0.95,"25,732"
109/05/28,"73,228,684","2,450,719,812",33.85,34.10,32.85,32.90,-0.95,"29,280"
109/05/29,"63,591,649","2,045,698,352",32.45,32.65,31.85,32.10,-0.80,"23,121"
109/06/01,"57,660,964","1,842,787,598",32.15,32.45,31.60,31.90,-0.20,"23,446"
109/06/02,"44,500,800","1,418,872,835",31.80,32.35,31.50,31.70,-0.20,"19,778"
109/06/03,"30,485,418","973,261,152",31.95,32.15,31.70,32.10,+0.40,"12,125"
109/06/04,"33,590,233","1,077,846,856",32.20,32.40,31.90,31.95,-0.15,"13,712"
109/06/05,"89,607,481","2,949,223,273",32.10,33.40,32.05,33.25,+1.30,"33,586"
109/06/08,"52,390,790","1,733,090,571",33.45,33.65,32.75,32.85,-0.40,"20,062"
109/06/09,"45,422,319","1,460,820,341",32.35,32.40,31.90,32.05,-0.80,"17,929"
109/06/10,"25,648,628","824,711,855",32.05,32.40,32.00,32.10,+0.05,"9,643"
109/06/11,"39,104,269","1,255,764,151",32.25,32.65,31.60,31.65,-0.45,"16,889"
109/06/12,"40,790,192","1,254,401,764",30.60,31.10,30.20,31.10,-0.55,"17,849"
109/06/15,"31,575,680","989,198,167",31.25,31.85,30.85,31.10, 0.00,"12,285"
109/06/16,"53,564,244","1,728,434,383",31.70,32.80,31.70,32.30,+1.20,"20,870"
109/06/17,"37,171,951","1,194,165,885",32.40,32.50,31.90,32.05,-0.25,"14,104"
109/06/18,"29,056,432","930,195,166",31.95,32.25,31.70,32.10,+0.05,"10,953"
109/06/19,"50,390,866","1,643,660,419",32.45,32.95,32.35,32.40,+0.30,"18,389"
109/06/22,"20,475,681","659,047,239",32.20,32.55,32.00,32.05,-0.35,"8,398"
109/06/23,"22,232,920","706,862,435",32.35,32.35,31.40,31.65,-0.40,"9,257"
109/06/24,"17,209,328","544,169,173",31.80,31.90,31.50,31.55,-0.10,"7,412"
109/06/29,"22,074,833","683,326,073",30.75,31.25,30.75,30.90,-0.65,"9,541"
109/06/30,"17,475,078","542,792,918",31.40,31.45,30.90,31.00,+0.10,"7,377"
109/07/01,"21,234,613","669,448,284",31.20,31.75,31.20,31.45,+0.45,"9,122"
109/07/02,"38,056,078","1,223,486,370",31.75,32.45,31.55,32.40,+0.95,"14,866"
109/07/03,"31,274,877","1,009,006,800",32.65,32.80,32.00,32.05,-0.35,"13,231"
109/07/06,"44,685,749","1,447,991,949",32.15,32.85,32.00,32.40,+0.35,"15,612"
109/07/07,"49,530,115","1,617,310,126",32.80,33.00,32.40,32.40, 0.00,"16,279"
109/07/08,"32,275,476","1,053,497,188",32.70,32.90,32.45,32.50,+0.10,"11,249"
109/07/09,"50,814,089","1,628,849,766",32.60,32.65,31.80,31.85,-0.65,"18,674"
109/07/10,"36,347,691","1,137,165,175",31.85,31.90,31.05,31.10,-0.75,"13,770"
109/07/13,"29,653,318","944,674,993",31.45,32.20,31.20,32.20,+1.10,"11,923"
109/07/14,"22,107,423","704,848,185",32.15,32.20,31.65,31.75,-0.45,"7,912"
109/07/15,"18,011,278","573,746,535",32.05,32.15,31.60,31.60,-0.15,"6,669"
109/07/16,"18,356,246","587,556,988",31.95,32.40,31.70,31.85,+0.25,"7,457"
109/07/17,"19,914,243","638,104,894",32.10,32.25,31.80,31.85, 0.00,"7,822"
109/07/20,"29,234,199","943,180,726",32.15,32.45,32.00,32.30,+0.45,"10,265"
109/07/21,"30,549,196","993,235,178",32.80,32.85,32.20,32.25,-0.05,"11,574"
109/07/22,"20,093,927","649,354,732",32.35,32.50,32.20,32.25, 0.00,"7,524"
