日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/03/22,"38,078,821","1,689,182,999",44.80,44.85,43.85,44.60,-0.15,"15,652"
110/03/23,"41,091,204","1,829,807,353",44.95,45.10,43.90,43.95,-0.65,"16,965"
110/03/24,"39,890,171","1,742,323,222",43.85,44.65,43.15,43.45,-0.50,"16,242"
110/03/25,"24,725,517","1,065,393,899",43.50,43.70,42.85,42.95,-0.50,"11,324"
110/03/26,"25,629,089","1,121,287,826",43.10,44.15,43.10,44.05,+1.10,"10,494"
110/03/29,"60,074,672","2,678,672,093",44.40,45.10,43.80,45.05,+1.00,"21,927"
110/03/30,"64,510,668","2,889,640,614",45.30,45.70,44.20,44.65,-0.40,"23,830"
110/03/31,"37,050,280","1,653,230,582",44.45,45.15,44.20,44.35,-0.30,"14,613"
110/04/01,"100,766,074","4,581,425,841",45.10,45.95,44.85,45.30,+0.95,"39,686"
110/04/06,"44,325,765","2,025,717,221",46.15,46.40,45.35,45.45,+0.15,"19,658"
110/04/07,"31,152,492","1,410,968,232",45.80,45.85,45.00,45.35,-0.10,"13,754"
110/04/08,"46,204,049","2,119,067,456",45.50,46.20,45.45,45.85,+0.50,"18,675"
110/04/09,"165,367,941","7,835,267,085",46.25,49.15,45.70,47.70,+1.85,"62,086"
110/04/12,"98,384,333","4,648,261,943",48.00,48.10,46.40,46.80,-0.90,"41,734"
110/04/13,"81,250,808","3,763,465,012",47.10,47.90,44.80,44.95,-1.85,"36,411"
110/04/14,"67,333,772","2,997,443,296",45.45,45.60,43.90,44.70,-0.25,"26,078"
110/04/15,"39,992,803","1,807,665,157",45.00,45.60,44.85,45.30,+0.60,"16,128"
110/04/16,"131,744,444","6,223,068,404",46.45,47.85,46.30,47.15,+1.85,"51,917"
110/04/19,"66,417,886","3,127,647,825",47.50,47.85,46.55,47.00,-0.15,"28,110"
110/04/20,"76,392,291","3,616,564,393",47.00,48.40,46.35,46.90,-0.10,"33,389"
110/04/21,"42,108,962","1,979,028,329",46.60,47.40,46.55,46.95,+0.05,"18,420"
110/04/22,"72,381,896","3,343,623,117",47.50,47.65,44.10,44.90,-2.05,"32,005"
110/04/23,"46,855,587","2,165,692,069",45.25,46.80,45.05,46.75,+1.85,"19,283"
110/04/26,"116,970,945","5,618,093,974",47.50,48.65,47.40,48.05,+1.30,"46,101"
110/04/27,"102,792,985","4,950,846,599",48.15,48.75,47.55,48.60,+0.55,"37,004"
110/04/28,"126,417,813","5,970,208,500",47.70,47.85,46.75,46.80,-1.80,"54,327"
110/04/29,"55,124,198","2,540,013,026",46.95,47.10,45.80,45.85,-0.95,"23,221"
110/05/03,"66,532,411","3,076,894,885",46.00,47.10,45.30,45.55,-0.30,"23,898"
110/05/04,"75,797,325","3,406,540,249",46.35,46.65,42.35,44.90,-0.65,"29,953"
110/05/05,"65,883,549","2,854,295,712",44.60,45.15,42.00,42.00,-2.90,"29,724"
110/05/06,"51,029,660","2,122,439,304",42.50,42.80,40.50,40.95,-1.05,"21,947"
110/05/07,"64,356,954","2,752,334,653",41.70,43.70,41.65,43.10,+2.15,"25,450"
110/05/10,"41,388,236","1,779,506,122",43.30,43.75,42.00,42.60,-0.50,"19,953"
110/05/11,"67,393,156","2,708,469,757",40.60,41.10,39.00,39.70,-2.90,"29,605"
110/05/12,"73,123,295","2,749,904,251",39.40,39.90,35.75,36.85,-2.85,"29,988"
110/05/13,"48,599,244","1,810,637,938",35.20,38.35,35.05,38.00,+1.15,"20,543"
110/05/14,"47,740,768","1,871,996,608",39.35,40.35,38.20,38.30,+0.30,"21,939"
110/05/17,"49,247,793","1,758,507,893",35.00,37.50,34.55,34.90,-3.40,"19,747"
110/05/18,"49,977,973","1,870,886,830",35.95,38.35,35.75,38.35,+3.45,"18,034"
110/05/19,"34,833,356","1,329,855,760",38.35,39.15,37.40,38.40,+0.05,"15,520"
110/05/20,"23,539,181","890,954,386",38.10,38.45,37.40,37.60,-0.80,"11,362"
110/05/21,"22,294,286","857,057,426",38.45,39.00,37.70,38.80,+1.20,"9,564"
110/05/24,"23,094,912","898,294,774",38.30,39.60,37.85,39.05,+0.25,"10,060"
110/05/25,"53,818,504","2,184,113,611",39.70,41.50,39.50,40.35,+1.30,"24,021"
110/05/26,"35,257,062","1,445,600,692",41.25,41.90,40.60,40.80,+0.45,"15,235"
110/05/27,"19,830,052","802,834,771",40.50,40.95,40.10,40.70,-0.10,"8,784"
110/05/28,"80,941,761","3,438,678,025",41.90,43.45,41.60,42.50,+1.80,"35,563"
110/05/31,"35,882,408","1,523,670,782",42.95,43.05,42.05,42.20,-0.30,"16,856"
110/06/01,"69,310,196","3,021,848,745",43.15,44.80,42.85,43.00,+0.80,"28,285"
110/06/02,"46,222,926","2,008,670,219",43.90,44.10,42.65,43.25,+0.25,"19,167"
110/06/03,"32,938,023","1,424,439,162",43.50,43.65,42.85,43.25, 0.00,"12,687"
110/06/04,"25,939,905","1,105,740,955",43.20,43.25,42.25,42.65,-0.60,"13,091"
110/06/07,"24,780,650","1,061,174,364",42.70,43.30,41.50,43.25,+0.60,"11,651"
110/06/08,"24,761,086","1,075,471,114",43.90,44.05,43.00,43.05,-0.20,"10,283"
110/06/09,"16,999,821","724,575,847",43.00,43.15,42.25,42.35,-0.70,"7,529"
110/06/10,"52,942,497","2,310,582,020",42.70,44.15,42.65,44.05,+1.70,"23,620"
110/06/11,"76,244,301","3,399,824,926",44.15,45.30,43.80,44.20,+0.15,"33,064"
110/06/15,"30,698,008","1,373,017,752",45.05,45.35,44.35,44.60,+0.40,"14,193"
110/06/16,"23,326,413","1,028,591,275",44.50,44.90,43.55,43.90,-0.70,"12,096"
110/06/17,"24,124,143","1,069,862,128",44.00,44.80,43.80,44.70,+0.80,"10,660"
110/06/18,"45,101,123","2,041,262,828",45.45,45.65,44.85,45.10,+0.40,"20,885"
110/06/21,"32,892,803","1,443,888,879",44.60,44.80,43.50,43.55,-1.55,"16,267"
110/06/22,"35,137,904","1,508,790,932",44.00,44.15,42.20,42.30,-1.25,"17,875"
110/06/23,"49,786,472","2,113,922,892",42.50,43.05,41.90,42.85,+0.55,"20,494"
110/06/24,"114,539,601","5,140,937,632",44.10,45.65,43.90,45.40,+2.55,"48,091"
110/06/25,"77,445,262","3,543,057,124",45.90,46.50,44.90,44.95,-0.45,"34,174"
110/06/28,"30,030,384","1,349,647,393",45.35,45.45,44.25,45.10,+0.15,"13,797"
110/06/29,"34,640,274","1,553,780,197",45.40,45.90,44.30,44.30,-0.80,"14,376"
110/06/30,"33,099,820","1,494,531,655",44.85,45.70,44.30,45.70,+1.40,"14,833"
110/07/01,"31,138,819","1,389,855,451",45.40,45.45,44.00,44.20,-1.50,"14,068"
110/07/02,"27,094,157","1,212,538,627",44.25,45.30,43.90,45.10,+0.90,"12,780"
110/07/05,"21,648,008","980,076,730",45.35,45.80,44.90,45.15,+0.05,"10,502"
110/07/06,"14,415,429","644,752,864",45.15,45.40,44.45,44.50,-0.65,"7,620"
110/07/07,"15,168,990","675,168,883",44.60,44.95,44.15,44.50, 0.00,"6,938"
110/07/08,"36,047,742","1,597,123,783",45.10,45.25,43.95,44.00,-0.50,"14,170"
110/07/09,"37,702,007","1,627,796,347",43.30,44.00,42.80,43.00,-1.00,"17,454"
110/07/12,"19,590,322","848,597,073",43.55,43.75,43.05,43.05,+0.05,"8,053"
110/07/13,"92,903,493","4,144,068,048",43.55,45.30,43.35,44.45,+1.40,"37,853"
110/07/14,"43,402,186","1,879,975,115",43.80,44.25,42.95,43.05,-1.40,"18,270"
110/07/15,"24,844,904","1,068,638,754",43.10,43.35,42.85,43.10,+0.05,"10,099"
110/07/16,"34,344,970","1,502,497,683",43.35,44.20,43.25,43.80,+0.70,"15,386"
110/07/19,"18,440,888","794,631,754",43.50,43.50,43.00,43.15,-0.65,"8,572"
110/07/20,"31,843,843","1,342,943,135",42.75,42.75,41.80,42.00,-1.15,"16,743"
110/07/21,"46,697,707","1,908,815,643",42.50,42.55,40.10,40.50,-1.50,"24,066"
110/07/22,"33,554,802","1,376,158,361",41.30,41.75,40.45,40.95,+0.45,"13,549"
110/07/23,"34,235,627","1,446,370,113",41.90,42.75,41.60,42.30,+1.35,"15,578"
110/07/26,"31,320,695","1,340,015,089",42.30,43.20,42.05,43.00,+0.70,"13,247"
110/07/27,"31,448,356","1,354,710,039",43.50,43.80,42.50,42.90,-0.10,"12,820"
110/07/28,"59,902,500","2,475,305,493",42.50,43.00,40.70,41.15,-1.75,"25,617"
110/07/29,"28,403,928","1,169,800,416",41.60,41.60,40.60,41.40,+0.25,"12,633"
110/07/30,"36,512,442","1,525,206,635",41.05,42.50,40.95,41.50,+0.10,"16,281"
110/08/02,"86,605,581","3,770,055,865",42.30,44.15,42.20,44.10,+2.60,"34,816"
110/08/03,"41,108,691","1,777,079,569",43.65,43.65,42.85,43.35,-0.75,"18,188"
110/08/04,"38,620,164","1,700,080,191",43.90,44.30,43.65,44.25,+0.90,"16,631"
110/08/05,"84,343,393","3,793,509,107",44.30,45.50,43.85,45.45,+1.20,"32,697"
110/08/06,"242,770,300","11,149,619,317",46.50,48.00,44.00,44.00,-1.45,"106,343"
110/08/09,"35,169,267","1,525,335,754",43.70,43.90,42.95,43.10,-0.90,"16,721"
110/08/10,"27,977,857","1,202,539,797",43.25,43.70,42.50,42.70,-0.40,"12,065"
110/08/11,"45,016,906","1,873,936,905",42.40,42.40,41.00,41.55,-1.15,"19,739"
110/08/12,"36,797,039","1,500,804,988",41.05,41.25,40.50,40.80,-0.75,"17,734"
110/08/13,"86,793,287","3,386,922,176",40.60,40.65,38.15,38.20,-2.60,"41,116"
110/08/16,"37,263,140","1,410,610,804",37.75,38.65,37.20,37.95,-0.25,"16,503"
110/08/17,"25,101,544","946,329,635",38.15,38.30,37.45,37.65,-0.30,"10,162"
110/08/18,"48,517,885","1,869,555,565",37.30,39.75,37.20,39.70,+2.05,"21,844"
110/08/19,"27,380,886","1,052,109,396",38.90,39.00,38.05,38.20,-1.50,"14,529"
110/08/20,"18,701,840","709,713,636",38.35,38.65,37.55,37.75,-0.45,"8,532"
110/08/23,"15,354,202","593,568,670",38.35,39.05,38.25,38.80,+1.05,"6,953"
110/08/24,"19,066,341","736,176,588",39.15,39.35,38.10,38.60,-0.20,"8,770"
110/08/25,"16,994,551","664,870,058",38.75,39.45,38.50,39.30,+0.70,"7,657"
110/08/26,"14,755,959","578,726,887",39.65,39.75,38.85,39.25,-0.05,"6,646"
110/08/27,"15,659,913","612,889,323",39.30,39.60,38.90,39.15,-0.10,"6,744"
110/08/30,"16,297,993","642,197,427",39.55,39.70,39.15,39.65,+0.50,"7,422"
110/08/31,"22,961,685","917,588,182",39.80,40.30,39.50,40.30,+0.65,"10,401"
110/09/01,"30,674,502","1,262,272,662",40.30,41.70,40.20,41.60,+1.30,"13,851"
110/09/02,"24,101,317","986,278,336",41.00,41.40,40.50,40.90,-0.70,"9,763"
110/09/03,"21,496,371","893,741,225",41.35,41.90,41.15,41.50,+0.60,"9,108"
110/09/06,"17,825,962","738,763,794",41.80,41.80,41.10,41.15,-0.35,"7,471"
110/09/07,"26,908,551","1,115,522,412",41.30,41.75,40.85,41.50,+0.35,"10,593"
110/09/08,"43,909,003","1,747,072,580",40.65,40.80,38.85,38.90,X0.00,"18,036"
110/09/09,"14,862,413","580,761,103",38.90,39.40,38.80,38.90, 0.00,"7,415"
110/09/10,"18,484,139","735,555,200",39.05,40.20,39.05,40.05,+1.15,"7,738"
110/09/13,"10,325,362","410,869,603",40.05,40.30,39.45,39.50,-0.55,"4,925"
110/09/14,"9,006,603","353,385,580",39.70,39.70,39.00,39.05,-0.45,"4,703"
110/09/15,"20,882,236","798,738,194",39.10,39.15,38.00,38.00,-1.05,"10,992"
110/09/16,"8,208,958","313,406,759",38.30,38.45,38.00,38.20,+0.20,"4,119"
